@TYPE	xy
@	subtitle
37,1600037	2,0791926
37,2000008	1,9936842
37,2400017	2,1761503
37,2800026	2,0962136
37,3200035	2,1183326
37,3600006	2,1243217
37,4000015	1,8715929
37,4400024	1,9939656
37,4800034	1,8802843
37,5200005	1,6917828
37,5600014	1,843547
37,6000023	1,7451841
37,6400032	1,755044
37,6800003	1,7553614
37,7200012	1,7212971
37,7600021	1,6784694
37,8000031	1,6869433
37,8400002	1,8150681
37,8800011	1,8540282
37,920002	1,8009757
37,9600029	1,7995
38	1,707404
38,0400009	1,9073488
38,0800018	1,9695808
38,1200027	2,0875902
38,1600037	2,0264566
38,2000008	2,0030341
38,2400017	1,9410526
38,2800026	1,9595772
38,3200035	1,921492
38,3600006	1,9736789
38,4000015	1,9332771
38,4400024	1,9872758
38,4800034	2,0867739
38,5200005	2,1594999
38,5600014	2,0726976
38,6000023	1,9600723
38,6400032	1,8113372
38,6800003	1,7881901
38,7200012	2,0975907
38,7600021	2,0278146
38,8000031	1,9718081
38,8400002	1,9882479
38,8800011	1,9592824
38,920002	1,9735689
38,9600029	1,9692624
39	1,9398788
39,0400009	2,0956903
39,0800018	1,9396125
39,1200027	1,8963374
39,1600037	1,8286617
39,2000008	1,7048849
39,2400017	1,7030308
39,2800026	1,6786239
39,3200035	1,7509093
39,3600006	1,7607347
39,4000015	1,8482606
39,4400024	1,7934077
39,4800034	1,8860226
39,5200005	1,9919823
39,5600014	2,00142
39,6000023	1,9165993
39,6400032	1,8400326
39,6800003	1,7785169
39,7200012	1,7632085
39,7600021	1,8200026
39,8000031	1,8730313
39,8400002	1,9463161
39,8800011	1,984567
39,920002	2,0553839
39,9600029	1,8853718
40	1,9389155
40,0400009	1,7990533
40,0800018	1,9399103
40,1200027	1,8420361
40,1600037	1,6375694
40,2000008	1,6904285
40,2400017	1,6275426
40,2800026	1,6386497
40,3200035	1,5922831
40,3600006	1,6143504
40,4000015	1,6193553
40,4400024	1,7465267
40,4800034	1,6954553
40,5200005	1,8077533
40,5600014	1,6703227
40,6000023	1,7982438
40,6400032	1,732388
40,6800003	1,9619339
40,7200012	1,9876111
40,7600021	2,1459546
40,8000031	2,219878
40,8400002	2,2405093
40,8800011	2,1755464
40,920002	2,1552973
40,9600029	2,0695014
41,0000038	2,102778
41,0400009	2,0484555
41,0800018	1,9985343
41,1200027	2,1676273
41,1600037	2,1499476
41,2000008	2,0609281
41,2400017	1,9346637
41,2800026	1,8056313
41,3200035	1,7681179
41,3600006	1,9399858
41,4000015	2,0070746
41,4400024	2,0469515
41,4800034	2,0337434
41,5200005	1,9764669
41,5600014	2,1041734
41,6000023	2,0425355
41,6400032	2,1753254
41,6800003	2,0914917
41,7200012	2,1911154
41,7600021	2,2621508
41,8000031	2,2483411
41,8400002	2,1999178
41,8800011	2,0980461
41,920002	2,1795273
41,9600029	1,9976233
42,0000038	2,0164082
42,0400009	1,900147
42,0800018	1,7532499
42,1200027	1,827415
42,1600037	1,9655051
42,2000008	1,9288508
42,2400017	1,9330798
42,2800026	1,894117
42,3200035	1,7328353
42,3600006	1,9167856
42,4000015	1,7828178
42,4400024	1,6714635
42,4800034	1,7760612
42,5200005	1,8733554
42,5600014	1,7535483
42,6000023	1,935914
42,6400032	1,8530347
42,6800003	1,9200652
42,7200012	1,872195
42,7600021	1,947966
42,8000031	1,9674443
42,8400002	1,9644755
42,8800011	2,0241919
42,920002	1,9946461
42,9600029	1,9418607
43,0000038	1,9619132
43,0400009	1,8560423
43,0800018	1,7654717
43,1200027	1,9643465
43,1600037	2,0434096
43,2000008	2,046617
43,2400017	2,0300918
43,2800026	1,9041749
43,3200035	1,9567993
43,3600006	2,0075769
43,4000015	1,9823961
43,4400024	1,9028729
43,4800034	1,719413
43,5200005	1,9583595
43,5600014	1,8303088
43,6000023	1,7809795
43,6400032	1,6907736
43,6800003	1,6716795
43,7200012	1,5405022
43,7600021	1,5505307
43,8000031	1,6056856
43,840004	1,4663985
43,8800011	1,5657779
43,920002	1,5904964
43,9600029	1,483858
44,0000038	1,4591267
44,0400009	1,2894065
44,0800018	1,1829489
44,1200027	1,3415991
44,1600037	1,2501531
44,2000008	1,3369731
44,2400017	1,4612975
44,2800026	1,4602629
44,3200035	1,3170363
44,3600006	1,420766
44,4000015	1,5288728
44,4400024	1,4854541
44,4800034	1,4314675
44,5200005	1,2774819
44,5600014	1,2716165
44,6000023	1,4984723
44,6400032	1,3546398
44,6800003	1,1675439
44,7200012	1,2516464
44,7600021	1,3176999
44,8000031	1,3867767
44,840004	1,4585537
44,8800011	1,3959885
44,920002	1,5486948
44,9600029	1,5542555
45,0000038	1,6641517
45,0400009	1,592976
45,0800018	1,7513467
45,1200027	1,6160663
45,1600037	1,585114
45,2000008	1,5828496
45,2400017	1,6868874
45,2800026	1,7277318
45,3200035	1,7256947
45,3600006	1,732911
45,4000015	1,9009086
45,4400024	1,8578123
45,4800034	1,7564684
45,5200005	1,7644087
45,5600014	1,7261543
45,6000023	1,7911649
45,6400032	1,6715643
45,6800003	1,6242312
45,7200012	1,5650522
45,7600021	1,5807847
45,8000031	1,6298674
45,840004	1,6843376
45,8800011	1,6114624
45,920002	1,6212937
45,9600029	1,5581121
46,0000038	1,5058041
46,0400009	1,5454704
46,0800018	1,6085973
46,1200027	1,4425737
46,1600037	1,5565153
46,2000008	1,5719761
46,2400017	1,6101388
46,2800026	1,6151335
46,3200035	1,6554371
46,3600006	1,6148509
46,4000015	1,6748383
46,4400024	1,5663624
46,4800034	1,7542059
46,5200005	1,7170982
46,5600014	1,7438285
46,6000023	1,7719574
46,6400032	1,8682715
46,6800041	1,8931578
46,7200012	1,9059622
46,7600021	1,8472407
46,8000031	1,9574013
46,840004	1,8838996
46,8800011	1,9271618
46,920002	1,8396286
46,9600029	1,8178444
47,0000038	1,8365334
47,0400009	1,6102513
47,0800018	1,5814911
47,1200027	1,5869921
47,1600037	1,6808145
47,2000008	1,6201336
47,2400017	1,606236
47,2800026	1,714797
47,3200035	1,8001496
47,3600006	1,7156278
47,4000015	1,8261002
47,4400024	1,7792835
47,4800034	1,8090564
47,5200005	1,923417
47,5600014	1,8671255
47,6000023	1,8348775
