@TYPE	VH+VL	VH	VL	CD20
@	D99N	D99N	D99N	D99N
9,04	0,1260208	0,0949024	0,1260244	0,1185307
9,0800009	0,1267888	0,1103209	0,1246538	0,1152594
9,1200008	0,1285834	0,1144142	0,1276787	0,1051399
9,1600008	0,1355515	0,1101946	0,1279033	0,1240507
9,2000008	0,1393878	0,1167559	0,1089369	0,1117079
9,2400007	0,1342894	0,1259534	0,1215486	0,1076603
9,2800007	0,1276943	0,1147844	0,1296977	0,1016404
9,3200006	0,1255122	0,1100483	0,1239433	0,1048607
9,3600006	0,1370636	0,1173264	0,1271538	0,0988931
9,4000006	0,1401822	0,1227066	0,1336671	0,112136
9,4400005	0,1361742	0,1143005	0,141849	0,1059516
9,4800005	0,1329146	0,1066332	0,1361542	0,130494
9,5200005	0,1349018	0,1026138	0,1383666	0,1145484
9,5600004	0,1349217	0,1065647	0,1453606	0,1145374
9,6000004	0,140141	0,1095017	0,123345	0,1172632
9,6400003	0,1245115	0,1094451	0,1233408	0,0994353
9,6800003	0,1242875	0,1024355	0,1324879	0,1225141
9,7200003	0,126663	0,109432	0,1304751	0,1137741
9,7600002	0,1368112	0,1410225	0,1273946	0,1183954
9,8000002	0,1538619	0,1210924	0,1414584	0,1100868
9,8400002	0,128339	0,116658	0,1262435	0,1058015
9,8800001	0,1296685	0,1013976	0,1289302	0,1056934
9,9200001	0,1462302	0,1238217	0,1322057	0,1057899
9,96	0,1461562	0,1368414	0,1326251	0,1053438
10	0,1527552	0,1381112	0,1443532	0,1227907
10,0400009	0,1434645	0,1327461	0,1308328	0,1245506
10,0800009	0,1380458	0,1309212	0,1329901	0,1202945
10,1200008	0,1301374	0,1157112	0,1168045	0,1114684
10,1600008	0,131109	0,1064908	0,1235639	0,1115938
10,2000008	0,1413516	0,1102808	0,1284247	0,1166699
10,2400007	0,1405026	0,1134992	0,1298708	0,1225195
10,2800007	0,1405782	0,1275046	0,1178221	0,1178689
10,3200006	0,1478178	0,1214731	0,1323704	0,1078966
10,3600006	0,1439338	0,1230071	0,1273155	0,1078319
10,4000006	0,1507053	0,1208971	0,1428647	0,1161458
10,4400005	0,1234993	0,1095328	0,1271494	0,1063129
10,4800005	0,1295978	0,1055081	0,1152019	0,1177409
10,5200005	0,1366142	0,1071007	0,1232997	0,1042414
10,5600004	0,1369888	0,119674	0,1280832	0,1169809
10,6000004	0,1387773	0,1208641	0,1410966	0,1191845
10,6400003	0,1369493	0,1043214	0,1334355	0,1047493
10,6800003	0,132294	0,1059435	0,139191	0,1150471
10,7200003	0,1486934	0,1149766	0,1516262	0,1223269
10,7600002	0,1353812	0,1285811	0,1283633	0,1127234
10,8000002	0,1447562	0,1265708	0,1353494	0,1250992
10,8400002	0,1431293	0,1376329	0,1294198	0,1186517
10,8800001	0,1525302	0,1049361	0,151981	0,107829
10,9200001	0,1582425	0,12123	0,1416829	0,1243506
10,960001	0,1748594	0,1362174	0,1636865	0,1136616
11,000001	0,1604147	0,1250999	0,1386057	0,0969737
11,0400009	0,147474	0,1372046	0,1378629	0,1033645
11,0800009	0,1309563	0,0953612	0,1365715	0,1151738
11,1200008	0,1428189	0,1005252	0,1406514	0,1011915
11,1600008	0,1362915	0,0994365	0,1442991	0,1073147
11,2000008	0,1661559	0,124503	0,1456874	0,1068795
11,2400007	0,1381098	0,1010348	0,1458418	0,120442
11,2800007	0,1435123	0,0994674	0,1413347	0,1142626
11,3200006	0,1329152	0,1099746	0,1433461	0,1036625
11,3600006	0,1282534	0,0993382	0,1342282	0,1196194
11,4000006	0,132885	0,1110967	0,1379004	0,1218237
11,4400005	0,148387	0,1004719	0,1419089	0,1231223
11,4800005	0,1323099	0,1017402	0,1362023	0,1206739
11,5200005	0,1388837	0,097917	0,1472443	0,1102676
11,5600004	0,1447078	0,0861853	0,145714	0,1288129
11,6000004	0,153023	0,1198628	0,1404193	0,1200705
11,6400003	0,1683419	0,1449311	0,1501919	0,1161181
11,6800003	0,1581765	0,1230085	0,1448826	0,110669
11,7200003	0,1599761	0,1093773	0,1661644	0,1255646
11,7600002	0,1758197	0,1444674	0,1446582	0,1060764
11,8000002	0,1364505	0,1207966	0,1373105	0,1299697
11,8400002	0,1652852	0,1255836	0,1672653	0,1199161
11,8800001	0,1586516	0,1212523	0,1596599	0,124025
11,920001	0,1814525	0,1151672	0,1793038	0,1153784
11,960001	0,1532709	0,1178531	0,1477962	0,122674
12,000001	0,158161	0,1083834	0,1648835	0,136275
12,0400009	0,1810371	0,1388909	0,1748897	0,1508956
12,0800009	0,1826055	0,122833	0,1810442	0,1082768
12,1200008	0,1660866	0,1109027	0,1745588	0,1198171
12,1600008	0,1803424	0,1316619	0,1817061	0,1334571
12,2000008	0,1664359	0,1301125	0,1738339	0,1128866
12,2400007	0,1621914	0,1319858	0,1611489	0,1163321
12,2800007	0,1591382	0,1309203	0,1506568	0,1227466
12,3200006	0,1521631	0,1200719	0,1456321	0,1093535
12,3600006	0,1554375	0,1291294	0,136345	0,1212796
12,4000006	0,1558757	0,1243628	0,1478771	0,1331481
12,4400005	0,1496865	0,1256013	0,1449049	0,1045867
12,4800005	0,1643023	0,1403618	0,14631	0,1005205
12,5200005	0,1624423	0,130861	0,1532627	0,1032206
12,5600004	0,1624987	0,1286591	0,1463785	0,1092888
12,6000004	0,1677097	0,1429144	0,1364231	0,1178689
12,6400003	0,161644	0,1374237	0,1370828	0,1122464
12,6800003	0,1507101	0,1141912	0,1283421	0,1187628
12,7200003	0,1459825	0,1118485	0,1317097	0,1306804
12,7600002	0,1457539	0,1135568	0,1399642	0,1075556
12,8000002	0,1525151	0,1232941	0,144148	0,1112258
12,8400002	0,1440423	0,1217265	0,1484709	0,1090233
12,8800011	0,1460867	0,1068284	0,1486463	0,1209751
12,920001	0,1562892	0,1183639	0,1565408	0,1183431
12,960001	0,1707902	0,1220019	0,1562416	0,0977485
13,000001	0,1621967	0,1125292	0,1357532	0,1077764
13,0400009	0,1570181	0,1066035	0,1365018	0,1297171
13,0800009	0,1431815	0,1212253	0,1279613	0,1019341
13,1200008	0,1338825	0,1125311	0,1289586	0,1058156
13,1600008	0,1358434	0,1243878	0,1198897	0,1149349
13,2000008	0,1190182	0,107761	0,1209398	0,1142405
13,2400007	0,1296029	0,1132681	0,1054508	0,1080867
13,2800007	0,1381339	0,1221496	0,1265074	0,0995945
13,3200006	0,1477552	0,1348862	0,1307409	0,1215892
13,3600006	0,1358162	0,1201348	0,116895	0,1125355
13,4000006	0,1617491	0,1216977	0,138465	0,1087293
13,4400005	0,1483635	0,1214791	0,1223125	0,1047671
13,4800005	0,1556915	0,1244999	0,1235198	0,1108682
13,5200005	0,1659933	0,135592	0,1132032	0,0997354
13,5600004	0,1471107	0,1145589	0,1178593	0,0844179
13,6000004	0,1500717	0,1320469	0,1312604	0,0911837
13,6400003	0,143677	0,1093563	0,1214349	0,0979067
13,6800003	0,1457636	0,1131418	0,1326616	0,0829265
13,7200003	0,1506136	0,1229207	0,1164284	0,087338
13,7600002	0,1550538	0,1221655	0,1273243	0,0814577
13,8000002	0,1570187	0,1250059	0,1212188	0,0903842
13,8400011	0,1661144	0,1272854	0,1520902	0,0932198
13,8800011	0,1513484	0,1211104	0,1414002	0,1077762
13,920001	0,1501977	0,1164482	0,1445899	0,0951404
13,960001	0,1590158	0,1216154	0,1311727	0,0948692
14,000001	0,1549611	0,1278726	0,1299167	0,0955472
14,0400009	0,1440888	0,1033373	0,1281027	0,1013752
14,0800009	0,1566842	0,1061831	0,1327982	0,1190152
14,1200008	0,1661507	0,1139273	0,130999	0,1197186
14,1600008	0,1534043	0,1125226	0,1307064	0,1028983
14,2000008	0,1726723	0,1262422	0,1244286	0,1230879
14,2400007	0,1561372	0,1226649	0,115214	0,1043606
14,2800007	0,1445504	0,1159351	0,1153568	0,1133047
14,3200006	0,1395012	0,117486	0,0990043	0,101003
14,3600006	0,1486169	0,1336648	0,1226887	0,0965808
14,4000006	0,1306631	0,1051344	0,130625	0,1130472
14,4400005	0,1434615	0,116498	0,1376047	0,1192332
14,4800005	0,125845	0,0940929	0,1207968	0,0971158
14,5200005	0,1401378	0,1142074	0,136106	0,0941953
14,5600004	0,1429225	0,1088428	0,1362112	0,0952558
14,6000004	0,1357837	0,0970227	0,123247	0,0957669
14,6400003	0,1346516	0,1103426	0,1287916	0,0930925
14,6800003	0,1281769	0,096314	0,1309264	0,0999035
14,7200003	0,126481	0,102772	0,1326636	0,1031842
14,7600002	0,1243117	0,1026764	0,1222311	0,0941873
14,8000011	0,1283148	0,1205149	0,1204959	0,0936841
14,8400011	0,1365709	0,1072428	0,1406444	0,1047142
14,8800011	0,1349208	0,1089464	0,1269808	0,1002593
14,920001	0,1371673	0,1301614	0,1187211	0,0840636
14,960001	0,1342681	0,1229323	0,1271036	0,0932198
15,000001	0,1280393	0,1209022	0,1111001	0,0978297
15,0400009	0,1380455	0,1248049	0,1183848	0,0861811
15,0800009	0,133049	0,1154634	0,1114807	0,0989675
15,1200008	0,1501549	0,1187438	0,1217817	0,09453
15,1600008	0,136905	0,1147462	0,1206102	0,1052456
15,2000008	0,1512614	0,1306014	0,1419628	0,0950795
15,2400007	0,1493546	0,1407486	0,1380022	0,0867849
15,2800007	0,1417767	0,1207193	0,1342726	0,0927029
15,3200006	0,1443097	0,1412632	0,1331403	0,0996698
15,3600006	0,1457667	0,1310057	0,1383371	0,1017317
15,4000006	0,1441693	0,1308478	0,1322431	0,1046642
15,4400005	0,1474535	0,1332527	0,1394271	0,1006729
15,4800005	0,1519002	0,1286397	0,1403447	0,0951055
15,5200005	0,1416926	0,1233417	0,1442651	0,1084712
15,5600004	0,1425154	0,1199449	0,1363124	0,1287061
15,6000004	0,1349784	0,1307378	0,1254168	0,1155843
15,6400003	0,1392815	0,1236246	0,14221	0,1038527
15,6800003	0,1365711	0,1360746	0,1189752	0,1158385
15,7200012	0,1338865	0,1218239	0,1247948	0,1211155
15,7600012	0,1458273	0,1301586	0,1222634	0,1210155
15,8000011	0,1396166	0,1201952	0,11932	0,1281779
15,8400011	0,1530791	0,1127435	0,1347528	0,118981
15,8800011	0,1463368	0,1174751	0,1379166	0,1076529
15,920001	0,1403828	0,1225647	0,1290584	0,1151322
15,960001	0,1443349	0,1205407	0,1244001	0,1070377
16	0,1388722	0,1262419	0,1325855	0,1239309
16,0400009	0,1441966	0,1243035	0,1299363	0,1088471
16,0799999	0,1360632	0,1209728	0,1299199	0,128086
16,1200008	0,1338618	0,1201536	0,1316152	0,131181
16,1599998	0,1483762	0,1278621	0,1335088	0,1228943
16,2000008	0,1524256	0,1187469	0,1336943	0,1334147
16,2400017	0,1419519	0,125375	0,1233299	0,1296404
16,2800007	0,1461778	0,1259111	0,1289288	0,118542
16,3200016	0,1463313	0,1369877	0,1217033	0,1207188
16,3600006	0,1350483	0,1289831	0,1230865	0,1322796
16,4000015	0,1407686	0,1293642	0,122577	0,0924815
16,4400005	0,1312733	0,1143232	0,129108	0,0997772
16,4800014	0,1428986	0,1398091	0,1318329	0,1106292
16,5200005	0,138694	0,1206606	0,1312887	0,127766
16,5600014	0,1566868	0,1228789	0,1372203	0,1021495
16,6000004	0,1534911	0,1179702	0,1431368	0,0875124
16,6400013	0,148739	0,1178369	0,1401913	0,1027323
16,6800003	0,1340143	0,106799	0,1173092	0,1088147
16,7200012	0,1582254	0,1165317	0,124452	0,1050988
16,7600002	0,1489748	0,1145167	0,1157212	0,1098771
16,8000011	0,1421039	0,1377841	0,110947	0,1265014
16,8400002	0,1540162	0,1321155	0,1340784	0,1028834
16,8800011	0,1384375	0,1183633	0,1280597	0,1155084
16,9200001	0,1448225	0,1313022	0,125091	0,1059353
16,960001	0,1549603	0,1291944	0,1285504	0,1326927
17	0,1455168	0,1263888	0,1259129	0,1291781
17,0400009	0,1626319	0,1393324	0,1309752	0,1257427
17,0799999	0,1534959	0,1408013	0,1236767	0,117948
17,1200008	0,1632775	0,1449779	0,1297146	0,1194498
17,1600018	0,1480813	0,1420618	0,1112042	0,1285422
17,2000008	0,1713154	0,1374458	0,1205668	0,1181195
17,2400017	0,1723245	0,147285	0,1118124	0,1056917
17,2800007	0,1802747	0,1450151	0,1308245	0,1208506
17,3200016	0,1488411	0,1394386	0,1196683	0,1227533
17,3600006	0,16163	0,1363484	0,1425058	0,1367877
17,4000015	0,1560423	0,1312585	0,1301999	0,1182645
17,4400005	0,1529457	0,1390503	0,1339054	0,1159778
17,4800014	0,1538718	0,1405321	0,1379539	0,141277
17,5200005	0,1711794	0,1423957	0,1479205	0,1168195
17,5600014	0,1644494	0,1367102	0,1317462	0,1350703
17,6000004	0,1782662	0,1365615	0,1441818	0,1168812
17,6400013	0,1579821	0,1264011	0,1398468	0,1278142
17,6800003	0,1653872	0,1273159	0,1519863	0,1157098
17,7200012	0,1889839	0,1471802	0,1465464	0,0933803
17,7600002	0,1845067	0,1454362	0,1517348	0,1306492
17,8000011	0,1952999	0,147469	0,1455147	0,1373658
17,8400002	0,1759292	0,1419317	0,1490115	0,0929193
17,8800011	0,1904704	0,1456131	0,1396864	0,1363043
17,9200001	0,1838822	0,1440882	0,131654	0,10473
17,960001	0,1570916	0,1375206	0,1165968	0,1115978
18	0,1639732	0,1391127	0,1342601	0,1246967
18,0400009	0,1651941	0,1485018	0,1221756	0,1164725
18,0799999	0,1598099	0,1498705	0,1291371	0,1161956
18,1200008	0,1783595	0,150635	0,1309613	0,1070184
