@TYPE	VH+VL	VH	VL	CD20
@	Y107A	Y107A	Y107A	Y107A
9,6000004	0,1602592	0,1248402	0,1271749	0,1102192
9,6400003	0,1449755	0,1131745	0,124542	0,0973406
9,6800003	0,1306202	0,124493	0,1103654	0,113424
9,7200003	0,1514883	0,1239284	0,1235904	0,1135321
9,7600002	0,1389058	0,0957925	0,1256934	0,1045279
9,8000002	0,1488969	0,1154174	0,1211882	0,1096264
9,8400002	0,1403743	0,1098676	0,1351381	0,1098623
9,8800001	0,1481496	0,1117845	0,1111255	0,099051
9,9200001	0,1502766	0,1198856	0,1301382	0,1058463
9,96	0,1373886	0,1187987	0,1206971	0,1103298
10	0,1175864	0,1044327	0,0993439	0,1094347
10,0400009	0,1478732	0,1236907	0,1176467	0,1207095
10,0800009	0,1362218	0,1217178	0,1137575	0,1078721
10,1200008	0,1373486	0,1299307	0,1063515	0,1176252
10,1600008	0,1494976	0,1323563	0,1307159	0,0992308
10,2000008	0,1505027	0,1315537	0,1274433	0,1134907
10,2400007	0,123571	0,1073447	0,1319624	0,1031346
10,2800007	0,1398166	0,1003513	0,1446256	0,1066585
10,3200006	0,1501763	0,1105465	0,1426437	0,1031408
10,3600006	0,1546226	0,123182	0,1415723	0,0955926
10,4000006	0,1480862	0,1121842	0,1440113	0,1033016
10,4400005	0,1260074	0,1079133	0,1272564	0,1092114
10,4800005	0,1361933	0,1022142	0,1325922	0,1018529
10,5200005	0,1367763	0,1040255	0,1273393	0,1039919
10,5600004	0,1254466	0,0961646	0,1368078	0,1011069
10,6000004	0,1251885	0,1088322	0,1175196	0,1058758
10,6400003	0,1328514	0,0974185	0,128693	0,1130422
10,6800003	0,1232236	0,1114732	0,1148762	0,1189131
10,7200003	0,129181	0,1198667	0,1187447	0,108291
10,7600002	0,1178084	0,1075192	0,1089553	0,108295
10,8000002	0,1244157	0,1260153	0,1086827	0,1073388
10,8400002	0,1192341	0,097679	0,127806	0,1096982
10,8800001	0,1268288	0,1073988	0,1260498	0,1129124
10,9200001	0,1250332	0,1089143	0,1215488	0,1061209
10,960001	0,1207355	0,0886632	0,1333218	0,1099891
11,000001	0,1201843	0,1093046	0,1188069	0,1149017
11,0400009	0,118754	0,1033465	0,1257981	0,1213529
11,0800009	0,116907	0,1086021	0,1145028	0,119044
11,1200008	0,1239052	0,1054668	0,125079	0,1138076
11,1600008	0,1216862	0,1125292	0,1171844	0,1198236
11,2000008	0,1200407	0,0998605	0,1290258	0,117658
11,2400007	0,1230577	0,1145977	0,1204443	0,1158581
11,2800007	0,1227524	0,1132105	0,1177093	0,1173167
11,3200006	0,1132369	0,0961722	0,1120849	0,1127781
11,3600006	0,1332462	0,1022277	0,1448102	0,1119982
11,4000006	0,1413922	0,1236865	0,1347202	0,1094589
11,4400005	0,1427705	0,1349566	0,116036	0,1036151
11,4800005	0,1372892	0,1125467	0,1324464	0,1101011
11,5200005	0,1482687	0,1151046	0,1160479	0,1078799
11,5600004	0,1538372	0,1068666	0,1323334	0,1110252
11,6000004	0,1387916	0,1111517	0,1400376	0,1157777
11,6400003	0,1546939	0,1146816	0,1417097	0,1036396
11,6800003	0,1508188	0,1148243	0,1378663	0,1119323
11,7200003	0,1260401	0,1118643	0,1295572	0,1159674
11,7600002	0,1313143	0,1009627	0,1167806	0,104591
11,8000002	0,1155926	0,0993185	0,108258	0,1095338
11,8400002	0,141738	0,1293169	0,1173958	0,1199414
11,8800001	0,1091197	0,1052065	0,1086979	0,1246559
11,920001	0,1236135	0,1122268	0,0999175	0,1193388
11,960001	0,1511408	0,1114284	0,1140661	0,1059977
12,000001	0,1475997	0,1201794	0,1186822	0,1133589
12,0400009	0,1539179	0,1298189	0,1157242	0,1135216
12,0800009	0,1590588	0,1270459	0,1281977	0,1094593
12,1200008	0,1549993	0,1263794	0,1131171	0,1271583
12,1600008	0,1480799	0,1297133	0,1053175	0,1099455
12,2000008	0,1536026	0,1306408	0,100249	0,1173348
12,2400007	0,1521277	0,1204725	0,1068219	0,1264636
12,2800007	0,1461893	0,1204276	0,1040061	0,1158686
12,3200006	0,1469792	0,1298072	0,0867988	0,1031376
12,3600006	0,125835	0,1257052	0,1017734	0,1050142
12,4000006	0,1405241	0,1255468	0,106338	0,1125779
12,4400005	0,1407482	0,1311388	0,0951144	0,09993
12,4800005	0,1630074	0,1471024	0,1055529	0,1160761
12,5200005	0,1665928	0,1400834	0,1038781	0,1017853
12,5600004	0,1533202	0,1426133	0,1169715	0,1019754
12,6000004	0,1540293	0,130484	0,1101425	0,0944541
12,6400003	0,1565542	0,1451688	0,0968714	0,1020204
12,6800003	0,1556049	0,1349463	0,1275374	0,1165735
12,7200003	0,1715169	0,1600104	0,1147524	0,1138106
12,7600002	0,1669768	0,1617851	0,120147	0,0981095
12,8000002	0,1645794	0,155662	0,1241317	0,1205449
12,8400002	0,1630114	0,1348214	0,129591	0,114775
12,8800011	0,1597824	0,1465505	0,1248779	0,099791
12,920001	0,1665159	0,1487708	0,144739	0,1089932
12,960001	0,1760577	0,1414918	0,1399751	0,0915484
13,000001	0,1662803	0,1167048	0,1344072	0,0925751
13,0400009	0,1467057	0,1184358	0,1263617	0,1072489
13,0800009	0,142983	0,1287251	0,0997362	0,0890139
13,1200008	0,1388969	0,1252594	0,1051505	0,1007818
13,1600008	0,1156344	0,1263617	0,0855069	0,1261565
13,2000008	0,1376565	0,1346575	0,0976134	0,1005322
13,2400007	0,1221195	0,1263065	0,0965987	0,1081675
13,2800007	0,132504	0,119429	0,1137793	0,1024956
13,3200006	0,1334121	0,1236761	0,1186448	0,0950995
13,3600006	0,1407688	0,1441758	0,1145146	0,1318625
13,4000006	0,1270361	0,1269255	0,1124399	0,1321942
13,4400005	0,1239127	0,1303192	0,0906372	0,1047758
13,4800005	0,1298805	0,1286697	0,1024319	0,1176456
13,5200005	0,1356977	0,1279206	0,1030705	0,1137591
13,5600004	0,1364538	0,1405955	0,0944552	0,105214
13,6000004	0,134531	0,1192889	0,1023367	0,1108613
13,6400003	0,140938	0,1326939	0,0944344	0,116457
