@TYPE	VH+VL	VH	VL	CD20	
@	Y105A	Y105A	Y105A	Y105A	
11,6000004	0,1384189	0,1283774	0,1220704	0,134954	
11,6400003	0,1454509	0,1272775	0,1396086	0,1320394	
11,6800003	0,1437619	0,1397675	0,1283732	0,1146181	
11,7200003	0,1301784	0,127167	0,1169927	0,122032	
11,7600002	0,1322207	0,1365441	0,109662	0,1183682	
11,8000002	0,1455832	0,1410585	0,1189309	0,1283545	
11,8400002	0,1613108	0,1462696	0,1360624	0,1386918	
11,8800001	0,1505341	0,1215639	0,1163963	0,1347578	
11,920001	0,143096	0,1259233	0,1134169	0,1201504	
11,960001	0,1470389	0,1475795	0,1265736	0,1332392	
12,000001	0,1554447	0,1301144	0,1419847	0,1383758	
12,0400009	0,1624706	0,1477897	0,1407292	0,1448363	
12,0800009	0,1704504	0,1408548	0,1410708	0,1443241	
12,1200008	0,1579427	0,1365561	0,1485019	0,1545766	
12,1600008	0,1795266	0,1220231	0,1414776	0,1505612	
12,2000008	0,1431278	0,1227963	0,1282025	0,1353401	
12,2400007	0,141042	0,1258965	0,1302824	0,1458103	
12,2800007	0,1402436	0,1244679	0,1447179	0,138986	
12,3200006	0,1510314	0,1226854	0,1285435	0,1488761	
12,3600006	0,1677332	0,1123099	0,1590643	0,1414907	
12,4000006	0,1554734	0,118703	0,1492583	0,1521127	
12,4400005	0,1428494	0,1029013	0,1537603	0,121602	
12,4800005	0,1456066	0,0945183	0,1512913	0,1333544	
12,5200005	0,1506242	0,1145083	0,1553072	0,1218785	
12,5600004	0,138441	0,1159089	0,1377971	0,1444917	
12,6000004	0,130453	0,1008151	0,1526884	0,1410936	
12,6400003	0,1394251	0,1127563	0,1440961	0,1268091	
12,6800003	0,1306863	0,1146798	0,131614	0,1287211	
12,7200003	0,1462082	0,1235244	0,1517145	0,1103061	
12,7600002	0,1398747	0,1259972	0,1412949	0,1371224	
12,8000002	0,13518	0,1256864	0,123729	0,1318308	
12,8400002	0,1348942	0,1069225	0,132127	0,1476779	
12,8800011	0,1279348	0,1183112	0,1265306	0,1394339	
12,920001	0,1332297	0,107189	0,1371381	0,1461024	
12,960001	0,140338	0,1195405	0,1359661	0,1320772	
13,000001	0,1409299	0,1261842	0,1323408	0,1506423	
13,0400009	0,1216926	0,1134707	0,1100335	0,1311423	
13,0800009	0,1302571	0,0993633	0,1312337	0,1320299	
13,1200008	0,135898	0,1089323	0,1296237	0,1427666	
13,1600008	0,1215722	0,092475	0,1307446	0,1377537	
13,2000008	0,142909	0,1088376	0,1438218	0,1306035	
13,2400007	0,1399556	0,1037978	0,1414862	0,1269033	
13,2800007	0,1321416	0,0933232	0,1314099	0,1188144	
13,3200006	0,1294994	0,0966733	0,1225031	0,1232208	
13,3600006	0,1359284	0,1090715	0,1308352	0,1240757	
13,4000006	0,1244366	0,0978406	0,1322492	0,1227786	
13,4400005	0,1329569	0,1223872	0,1288126	0,1256694	
13,4800005	0,1353829	0,1100406	0,1241319	0,1276664	
13,5200005	0,1339313	0,1195505	0,1109853	0,1297876	
13,5600004	0,1491522	0,1053984	0,1310706	0,1226383	
13,6000004	0,1393737	0,1066315	0,1135177	0,1309013	
13,6400003	0,1211265	0,107914	0,1140525	0,1276103	
13,6800003	0,1304761	0,1235716	0,113159	0,1392713	
13,7200003	0,1314126	0,1233812	0,117679	0,1512548	
13,7600002	0,1305267	0,1320444	0,1155614	0,1398759	
13,8000002	0,1206175	0,1179621	0,1112931	0,1398231	
